"ID,State,Repair ,Reason,YEAR ,Make,Body Type"
"0047796980023296,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0049519256408064,DC,Wheel Arch,Rust,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0051272015560704,DC,Tire replacement,Flat- hole not reparable,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT"
"0053055257481216,DE,Brake line replacement,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0053055257481216,DE,Dent Repair  Left Fender,Collision,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0054868982169600,DE,Brake line replacement,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0054868982169600,DE,Rocker Panel,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0056713189625856,DE,Brake line replacement,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0056713189625856,DE,Fender replacement ,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0056713189625856,DE,Shocks,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0056713189625856,DE,Struts,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0056713189625856,DE,Wheel Arch,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0058587879849984,DE,Cab corner panel,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0058587879849984,DE,Dent Repair  Left Fender,Collision,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0060493052841984,DE,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0060493052841984,DE,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0062428708601856,DE,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0062428708601856,DE,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0064394847129600,DE,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0064394847129600,DE,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0066391468425216,DE,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0068418572488704,DE,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0070476159320064,DE,Fuel Tank,Hole,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0072564228919296,DE,Tire repair,Flat- reparable,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT"
"0074682781286400,FL,Battery replacment,Dead battery,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0076831816421376,FL,Fender replacement ,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0076831816421376,FL,Tire repair,Flat- reparable,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0079011334324224,FL,Battery replacment,Dead battery,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0079011334324224,FL,Tire repair,Flat- reparable,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0079011334324224,FL,Tire replacement,Flat- hole not reparable,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0081221334994944,FL,Tire repair,Flat- reparable,2018,Chevrolet Silverado ,""1500 2WD Double Cab 143.5"""" LT w/1LT"""
"0081221334994944,FL,Tire replacement,Flat- hole not reparable,2018,Chevrolet Silverado ,""1500 2WD Double Cab 143.5"""" LT w/1LT"""
"0083461818433536,FL,Dent Repair  Left Fender,Collision,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0083461818433536,FL,Tire repair,Flat- reparable,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0083461818433536,FL,Tire replacement,Flat- hole not reparable,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0083461818433536,FL,Wheel Arch,Rust,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0085732784640000,FL,Tire repair,Flat- reparable,2019,RAM ,""1500 Classic SLT 4X2 Crew Cab 6'4"""" Box"""
"0088034233614336,GA,Battery replacment,Dead battery,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0090366165356544,GA,Windshield replacement,Crack,2018,Chevrolet Silverado ,""1500 2WD Double Cab 143.5"""" LT w/1LT"""
"0092728579866624,GA,Tire replacement,Flat- hole not reparable,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT"
"0095121477144576,GA,Tire replacement,Flat- hole not reparable,2019,RAM ,""1500 Classic SLT 4X2 Crew Cab 6'4"""" Box"""
"0095121477144576,GA,Windshield replacement,Crack,2019,RAM ,""1500 Classic SLT 4X2 Crew Cab 6'4"""" Box"""
"0097544857190400,IA,Cab corner panel,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0097544857190400,IA,Fender replacement ,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0097544857190400,IA,Shocks,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0097544857190400,IA,Struts,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0097544857190400,IA,Tire repair,Flat- reparable,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0099998720004096,IA,Struts,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0099998720004096,IA,Wheel Arch,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0102483065585664,IA,Battery replacment,Dead battery,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0102483065585664,IA,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0102483065585664,IA,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0104997893935104,IA,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0104997893935104,IA,Cab corner panel,Rust,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0104997893935104,IA,Fender replacement ,Rust,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0104997893935104,IA,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0104997893935104,IA,Rocker Panel,Rust,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0107543205052416,IA,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0107543205052416,IA,Rocker Panel,Rust,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0107543205052416,IA,Wheel Arch,Rust,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0110118998937600,IA,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0112725275590656,IA,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0112725275590656,IA,Transmission,slips in and out of gear,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0115362035011584,IA,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0118029277200384,IA,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0118029277200384,IA,Fuel Tank,Hole,2019,RAM ,""1500 Classic SLT 4X2 Crew Cab 6'4"""" Box"""
"0118029277200384,IA,Tire replacement,Flat- hole not reparable,2019,RAM ,""1500 Classic SLT 4X2 Crew Cab 6'4"""" Box"""
"0120727002157056,ID,Battery replacment,Dead battery,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0120727002157056,ID,Windshield replacement,Crack,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0123455209881600,IA,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0123455209881600,ID,Tire repair,Flat- reparable,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0126213900374016,IA,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0129003073634304,ID,Dent Repair Rear,Collision,2019,RAM ,""1500 Classic SLT 4X2 Crew Cab 6'4"""" Box"""
"0129003073634304,IA,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0129003073634304,ID,Tire replacement,Flat- hole not reparable,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT"
"0129003073634304,ID,Windshield replacement,Crack,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT"
"0131822729662464,IL,Cab corner panel,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0131822729662464,IL,Fuel Tank,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0131822729662464,IL,Fuel Tank,Hole,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0131822729662464,IL,Shocks,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0131822729662464,IL,Struts,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0131822729662464,IL,Wheel Arch,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0134672868458496,IL,Fender replacement ,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0134672868458496,IL,Fuel Tank,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0134672868458496,IL,Rocker Panel,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0134672868458496,IL,Struts,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0134672868458496,IL,Struts,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0137553490022400,IL,Fuel Tank,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0140464594354176,IL,Fuel Tank,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0143406181453824,IL,Fuel Tank,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0146378251321344,IL,Fuel Tank,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0149380803956736,IL,Fuel Tank,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0152413839360000,IL,Fuel Tank,Corrosion,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0155477357531136,IL,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0155477357531136,IL,Cab corner panel,Rust,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0155477357531136,IL,Fuel Tank,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0155477357531136,IL,Rocker Panel,Rust,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0158571358470144,IL,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0158571358470144,IL,Cab corner panel,Rust,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0158571358470144,IL,Fender replacement ,Rust,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0158571358470144,IL,Fuel Tank,Hole,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0161695842177024,IL,Battery replacment,Dead battery,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0161695842177024,IL,Rocker Panel,Rust,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0161695842177024,IL,Windshield replacement,Crack,2017,Chevrolet Silverado ,""1500 4WD Double Cab 143.5"""" LT w/1LT"""
"0164850808651776,IL,Dent Repair  Left Fender,Collision,2018,Chevrolet Silverado ,""1500 2WD Double Cab 143.5"""" LT w/1LT"""
"0168036257894400,IL,Wheel Arch,Rust,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0168036257894400,IL,Windshield replacement,Crack,2018,RAM ,""1500 SLT 4X2 Quad Cab 6'4"""" Box"""
"0171252189904896,IL,Fuel Tank,Hole,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT"
"0174498604683264,IL,Dent Repair  Left Fender,Collision,2019,RAM ,""1500 Classic SLT 4X2 Crew Cab 6'4"""" Box"""
"0174498604683264,IL,Tire replacement,Flat- hole not reparable,2019,RAM ,""1500 Classic SLT 4X2 Crew Cab 6'4"""" Box"""
"0177775502229504,IN,Battery replacment,Dead battery,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0177775502229504,IN,Fuel Tank,Hole,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0181082882543616,IN,Cab corner panel,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0181082882543616,IN,Fuel Tank,Hole,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0181082882543616,IN,Shocks,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0184420745625600,IN,Fender replacement ,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0184420745625600,IN,Fuel Tank,Hole,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0184420745625600,IN,Rocker Panel,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0184420745625600,IN,Shocks,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0184420745625600,IN,Struts,Rust,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
"0187789091475456,IN,Fuel Tank,Hole,2016,RAM ,""1500 4WD Quad Cab 140.5"""" SLT"""
